"","imdbRating","budget","release_month","duration_minutes","total_number_of_spoken_languages","total_number_of_genres","genre_action","genre_adventure","genre_animation","genre_biography","genre_comedy","genre_documentary","genre_drama","genre_family","genre_fantasy","genre_filmnoir","genre_history","genre_horror","genre_music","genre_musical","genre_scifi","genre_shortfilm","genre_thriller","genre_war","main_actor1_is_female","main_actor1_star_meter","main_actor2_star_meter","main_actor3_star_meter","total_number_of_actors","log_duration","country_prod_d","language_used_d"
"68",6.8,2e+08,11,90,1,3,"0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1508,1113,2483,18,3.85014760171006,1,1
"69",6.9,0,12,30,1,2,"0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0",443,335,237,11,2.19722457733622,0,1
"70",5.8,1e+06,10,90,1,3,"0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","1",869,2644,3003,13,4.14313472639153,1,1
"71",8.1,0,11,90,1,2,"0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1",1679,2159,3271,15,3.80666248977032,0,1
"72",5.8,1.9e+07,7,90,3,3,"0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1",536,1127,239,67,3.8286413964891,0,0
"73",6.2,0,9,60,1,3,"0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1",105,637,1685,7,3.66356164612965,1,1
"74",8.4,2200000,12,120,1,3,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0",670,506,449,19,4.46590811865458,0,1
"75",6.8,0,7,90,1,2,"0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0",713,2170,857,41,3.80666248977032,0,1
"76",6.7,0,4,90,1,3,"0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0",19,2509,855,14,4.04305126783455,1,1
"77",6,3500000,1,120,1,2,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1753,471,1889,12,4.26267987704132,0,1
"78",7.7,0,6,90,1,2,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",844,880,405,13,4.12713438504509,1,1
"79",5.1,1.5e+07,9,60,1,1,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1281,1669,278,16,3.68887945411394,1,1
"80",8.2,0,10,120,1,1,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1348,2402,1842,15,4.33073334028633,1,1
"81",7.7,0,9,90,1,1,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",513,2627,2506,7,3.8286413964891,1,1
"82",7.6,4e+07,12,120,1,3,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1818,1818,3294,16,4.48863636973214,1,1
"83",7.6,7500000,7,90,3,2,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1026,360,1184,24,4.07753744390572,0,1
"84",7,0,10,90,1,2,"0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0",489,578,651,16,3.91202300542815,0,1
"85",5.4,9.2e+07,2,90,2,3,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",811,473,2518,20,3.89182029811063,1,1
"86",6.8,0,4,60,1,3,"0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",652,1457,2409,15,3.36729582998647,1,1
"87",7,2625000,3,120,1,3,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0",1466,142,309,14,4.26267987704132,1,1
"88",7.7,560000,7,60,1,2,"0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",141,2121,125,14,3.66356164612965,0,1
"89",5,2500000,1,60,1,1,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",970,2277,2503,16,3.61091791264422,1,1
"90",6.8,0,6,90,1,2,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1380,1383,3062,7,3.98898404656427,0,1
"91",6.9,6.5e+07,5,120,1,3,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1449,489,369,16,4.4188406077966,1,1
"92",7.1,4e+07,7,120,2,3,"0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1830,343,1624,27,4.36944785246702,1,1
"93",6.4,1.2e+07,10,90,1,3,"0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0",1704,2072,453,15,3.98898404656427,0,1
"94",7.7,1.7e+07,5,90,3,3,"0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1",1797,2582,1969,9,3.87120101090789,1,0
"95",6.3,4e+06,4,90,2,3,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",1686,1779,2381,11,3.91202300542815,0,1
"96",6.6,3e+07,4,90,1,3,"0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0",147,373,1246,14,4.06044301054642,1,1
"97",7.2,0,9,90,2,1,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1557,161,2564,20,4.24849524204936,1,1
"98",6.1,3.6e+07,4,90,2,3,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",1484,2045,2336,15,4.0943445622221,0,1
"99",8,3900000,12,120,4,3,"0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0",430,2076,670,25,4.26267987704132,0,1
"100",8.1,0,8,90,3,3,"0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0",1126,2173,1185,14,4.00733318523247,0,1
"101",7.3,0,4,90,2,2,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0",956,1977,2742,15,4.07753744390572,1,1
"102",6.5,1.1e+07,4,90,1,3,"0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0",433,1368,1184,17,4.20469261939097,0,1
"103",6.7,1.6e+07,1,90,3,3,"0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1",1289,2482,2082,15,3.93182563272433,0,1
"104",7.3,6e+06,4,90,1,2,"0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",1575,722,2151,20,3.73766961828337,1,1
"105",8.1,0,11,90,2,3,"0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0",844,880,405,10,3.85014760171006,1,1
"106",6.2,1.7e+07,10,60,1,1,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1388,2388,1259,15,3.46573590279973,1,1
"107",7.1,0,5,60,1,1,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",844,382,999,14,3.58351893845611,1,1
"108",7.5,1800000,11,90,1,1,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",1239,646,1821,29,3.73766961828337,1,1
"109",6.5,5e+06,2,90,1,2,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0",762,352,1821,28,3.85014760171006,1,1
"110",5.6,7e+06,8,90,1,2,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0",762,311,1564,29,3.91202300542815,1,1
"111",5,8e+06,8,60,1,2,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0",762,444,1046,43,3.68887945411394,1,1
"112",7.4,8e+06,12,150,2,3,"0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1",638,1566,1361,7,4.7361984483945,0,1
"113",6.5,1.4e+07,6,90,1,3,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1",915,2088,803,12,3.89182029811063,1,1
